index,Name,Email,Affiliation,Verified
Anupam Chattopadhyay,Shivam Bhasin,/citations?user=ORZytY8AAAAJ&hl=en,NTU Singapore,Verified email at ntu.edu.sg
Anupam Chattopadhyay,Debjyoti Bhattacharjee,/citations?user=A9_fFPkAAAAJ&hl=en,imec,Verified email at imec.be
Anupam Chattopadhyay,Rainer Leupers,/citations?user=f57N-_oAAAAJ&hl=en,RWTH Aachen,Verified email at ice.rwth-aachen.de
Anupam Chattopadhyay,Prasanna Ravi,/citations?user=9Oy9-W0AAAAJ&hl=en,Research Associate@Temasek Labs,Verified email at ntu.edu.sg
Anupam Chattopadhyay,Heinrich Meyr,/citations?user=120B2eYAAAAJ&hl=en,"Grand Professor, cfAED, TU Dresden",Verified email at iss.rwth-aachen.de
Anupam Chattopadhyay,Anubhab Baksi,/citations?user=25vRQA0AAAAJ&hl=en,"Nanyang Technological University, Singapore",Verified email at e.ntu.edu.sg
Anupam Chattopadhyay,Debdeep Mukhopadhyay,/citations?user=lfhvrhYAAAAJ&hl=en,"Professor, Dept of Computer Science and Engineering, IIT Kharagpur, India",Verified email at cse.iitkgp.ac.in
Anupam Chattopadhyay,Dr. Ayesha Khalid,/citations?user=YXQolr4AAAAJ&hl=en,"Senior Lecturer @ Queens University Belfast (QUB), Belfast, NI, UK",Verified email at qub.ac.uk
Anupam Chattopadhyay,Kwok-Yan Lam,/citations?user=NDMIYKsAAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
Anupam Chattopadhyay,Jawad Haj-Yahya,/citations?user=Pv1CVcIAAAAJ&hl=en,Rivos Inc.,Verified email at rivosinc.com
Anupam Chattopadhyay,Goutam Paul,/citations?user=PbIhVccAAAAJ&hl=en,"Associate Professor, Cryptology & Security Research Unit (CSRU), Indian Statistical Institute",Verified email at ieee.org
Anupam Chattopadhyay,Zheng Wang,/citations?user=j-zijKAAAAAJ&hl=en,"Associate Professor, Shenzhen Institutes of Advanced Technology",Verified email at siat.ac.cn
Anupam Chattopadhyay,Manaar Alam,/citations?user=46jmlGgAAAAJ&hl=en,"Post-Doctoral Associate, New York University Abu Dhabi",Verified email at nyu.edu
Anupam Chattopadhyay,Vikramkumar Pudi,/citations?user=Gz9yzh4AAAAJ&hl=en,IIT Tirupati,Verified email at iittp.ac.in
Anupam Chattopadhyay,Farhad Merchant,/citations?user=wmBOgjwAAAAJ&hl=en,"Lecturer (Assistant Professor), Newcastle University",Verified email at newcastle.ac.uk
Anupam Chattopadhyay,Sourav Sen Gupta,/citations?user=I8gZp-gAAAAJ&hl=en,"imec, Leuven, Belgium",Verified email at imec.be
Anupam Chattopadhyay,Eike Linn,/citations?user=Sd82LwQAAAAJ&hl=en,"IWE II, RWTH Aachen University",Verified email at iwe.rwth-aachen.de
Anupam Chattopadhyay,Naina Gupta,/citations?user=8XCwaoIAAAAJ&hl=en,"Research Associate, Temasek Labs, NTU, Singapore",Verified email at e.ntu.edu.sg
Anupam Chattopadhyay,Jakub Breier,/citations?user=LOENK6IAAAAJ&hl=en,"Senior Cybersecurity Manager, TTControl GmbH, Vienna, Austria",Verified email at ttcontrol.com
Anupam Chattopadhyay,Vishal Dey,/citations?user=O2UtTjEAAAAJ&hl=en,"Computer Science and Engineering, The Ohio State University, Columbus",Verified email at osu.edu
Anwitaman Datta,Karl Aberer,/citations?user=ifU81ikAAAAJ&hl=en,"Professor of Computer and Communication Sciences, EPFL",Verified email at epfl.ch
Anwitaman Datta,Frederique Oggier,/citations?user=R2RXB7QAAAAJ&hl=en,Nanyang Technological University,Verified email at systems.caltech.edu
Anwitaman Datta,Manfred Hauswirth,/citations?user=WwjTJ3YAAAAJ&hl=en,Full professor TU Berlin and managing director Fraunhofer FOKUS,Verified email at tu-berlin.de
Anwitaman Datta,Aixin Sun 孙爱欣,/citations?user=wyKGVKUAAAAJ&hl=en,NTU Singapore,Verified email at ntu.edu.sg
Anwitaman Datta,Krzysztof Rzadca,/citations?user=ctiDQxUAAAAJ&hl=en,"Institute of Informatics, University of Warsaw and Google",Verified email at mimuw.edu.pl
Anwitaman Datta,Sonja Buchegger,/citations?user=AABgNmoAAAAJ&hl=en,"Professor of Computer Science, KTH Royal Institute of Technology",Verified email at csc.kth.se
Anwitaman Datta,Ee-Peng Lim,/citations?user=r0wOAikAAAAJ&hl=en,Singapore Management University,Verified email at smu.edu.sg
Anwitaman Datta,Chenliang Li,/citations?user=p4RNNCQAAAAJ&hl=en,"School of Cyber Science and Engineering, Wuhan University",Verified email at whu.edu.cn
Anwitaman Datta,Rajesh Sharma,/citations?user=GKegbo0AAAAJ&hl=en,University of Tartu,Verified email at e.ntu.edu.sg
Anwitaman Datta,Le Hung Vu,/citations?user=c1PpvSoAAAAJ&hl=en,Switzerland Federal Institute of Technology Lausanne (EPFL),Verified email at alumni.epfl.ch
Anwitaman Datta,Lluis Pamies-Juarez,/citations?user=aw2hVwkAAAAJ&hl=en,Google,Verified email at pamies.cat
Anwitaman Datta,Philippe Cudre-Mauroux,/citations?user=NpccCXwAAAAJ&hl=en,"Full Professor (Computer Science), U. of Fribourg–Switzerland",Verified email at unifr.ch
Anwitaman Datta,Tien Tuan Anh Dinh,/citations?user=224X-HoAAAAJ&hl=en,Deakin University,Verified email at deakin.edu.au
Anwitaman Datta,Adam Wierzbicki,/citations?user=8uVLm1kAAAAJ&hl=en,Professor of Polish-Japanese Institute of Information Technology (PJIIT),Verified email at pjwstk.edu.pl
Anwitaman Datta,Alberto Montresor,/citations?user=1Z5aqBAAAAAJ&hl=en,"Professor of Computer Science, University of Trento",Verified email at unitn.it
Anwitaman Datta,Pedro Garcia Lopez,/citations?user=aaNVZ1oAAAAJ&hl=en,Universitat Rovira i Virgili,Verified email at urv.cat
Anwitaman Datta,Sarunas Girdzijauskas,/citations?user=mhqpsO4AAAAJ&hl=en,"Associate Professor of Computer Science, Royal Institute of Technology (KTH), Sweden",Verified email at kth.se
Anwitaman Datta,Adriana Iamnitchi,/citations?user=BfrPSGIAAAAJ&hl=en,"Professor of Computational Social Sciences, Maastricht University, Netherlands",Verified email at maastrichtuniversity.nl
Anwitaman Datta,Marinho Barcellos,/citations?user=gYziq3EAAAAJ&hl=en,"Senior Lecturer, University of Waikato",Verified email at waikato.ac.nz
Anwitaman Datta,Pascal Felber,/citations?user=Rl7te6EAAAAJ&hl=en,"Professor of Computer Science, University of Neuchâtel",Verified email at unine.ch
Arvind Easwaran,,,,
Bo An,Milind Tambe,/citations?user=YOVZiJkAAAAJ&hl=en,"Professor & Director CRCS Center  @Harvard; Director ""AI for Social Good"" @Google Research",Verified email at harvard.edu
Bo An,Victor Lesser,/citations?user=izMnGyMAAAAJ&hl=en,"School of Computer Science, University of Massachusetts Amherst",Verified email at cs.umass.edu
Bo An,Christopher Kiekintveld,/citations?user=-0LFOnYAAAAJ&hl=en,University of Texas at El Paso,Verified email at utep.edu
Bo An,Yevgeniy Vorobeychik,/citations?user=ptI-HHkAAAAJ&hl=en,Washington University in Saint Louis,Verified email at wustl.edu
Bo An,Fei Fang,/citations?user=R6jE0VEAAAAJ&hl=en,Carnegie Mellon University,Verified email at cmu.edu
Bo An,Fernando Ordonez,/citations?user=2BLPkosAAAAJ&hl=en,"Industrial Engineering, Universidad de Chile",Verified email at dii.uchile.cl
Cham Tat Jen,,,,
Chee Wei Tan,Daniel P. Palomar,/citations?user=qlReqq8AAAAJ&hl=en,"Department of Electronic & Computer Engineering, Department of Industrial Eng. & Decision Analytics",Verified email at ust.hk
Chee Wei Tan,Desmond Cai,/citations?user=rhkwhrAAAAAJ&hl=en,Institute of High Performance Computing,Verified email at ihpc.a-star.edu.sg
Chee Wei Tan,Carlee Joe-Wong,/citations?user=XEztdZgAAAAJ&hl=en,"Robert E. Doherty Associate Professor, Carnegie Mellon University",Verified email at andrew.cmu.edu
Chee Wei Tan,Tony Q.S. Quek,/citations?user=0o1tkokAAAAJ&hl=en,"Full Professor and ISTD Pillar Head, SUTD",Verified email at ieee.org
Chee Wei Tan,Wenyi Zhang,/citations?user=-KPPxnMAAAAJ&hl=en,University of Science and Technology of China,Verified email at ustc.edu.cn
Chee Wei Tan,Steven H. Low,/citations?user=4BrebIYAAAAJ&hl=en,"Gilloon Professor of Computing+Mathematical Sciences, Electrical Engineering, Caltech",Verified email at caltech.edu
Chee Wei Tan,Bhaskar Rao,/citations?user=dJRKST0AAAAJ&hl=en,"University of California, San Diego",Verified email at eng.ucsd.edu
Chee Wei Tan,David Julian,/citations?user=NYUJEBcAAAAJ&hl=en,NetraDyne,Verified email at netradyne.com
Chee Wei Tan,Sangtae Ha,/citations?user=GcMKuu8AAAAJ&hl=en,University of Colorado at Boulder,Verified email at colorado.edu
Chee Wei Tan,Raymond W. Yeung,/citations?user=tej5yuAAAAAJ&hl=en,The Chinese University of Hong Kong,Verified email at ie.cuhk.edu.hk
Chee Wei Tan,R. Srikant,/citations?user=tDWt_MQAAAAJ&hl=en,University of Illinois at Urbana-Champaign,Verified email at illinois.edu
Chee Wei Tan,Shmuel Friedland,/citations?user=yhfRxXAAAAAJ&hl=en,"Professor of Mathematics, University of Illinois at Chicago",Verified email at uic.edu
Chee Wei Tan,Niangjun Chen,/citations?user=mOmPukcAAAAJ&hl=en,Singapore University of Technology and Design,Verified email at sutd.edu.sg
Chee Wei Tan,Salman Avestimehr,/citations?user=Qhe5ua0AAAAJ&hl=en,"Dean's Professor and Director of USC-Amazon Center on Trustworthy AI, USC",Verified email at usc.edu
Chee Wei Tan,R. Calderbank,/citations?user=XtUBAtwAAAAJ&hl=en,"Bell Labs, AT&T Labs, Princeton University, Duke University",Verified email at duke.edu
Chee Wei Tan,HV Poor,/citations?user=Dq93mOUAAAAJ&hl=en,"Michael Henry Strater University Professor, Princeton University",Verified email at princeton.edu
Chee Wei Tan,Weiyu Xu,/citations?user=ssi7VJMAAAAJ&hl=en,"Associate Professor, University of Iowa",Verified email at uiowa.edu
Chee Wei Tan,Meng Wang,/citations?user=raNus3IAAAAJ&hl=en,"Associate Professor, Rensselaer Polytechnic Institute",Verified email at rpi.edu
Chen Change Loy,Xiaoou Tang,/citations?user=qpBtpGsAAAAJ&hl=en,The Chinese University of Hong Kong,Verified email at ie.cuhk.edu.hk
Chen Change Loy,Ziwei Liu,/citations?user=lc45xlcAAAAJ&hl=en,"Assistant Professor, Nanyang Technological University",Verified email at ntu.edu.sg
Chen Change Loy,Dahua Lin,/citations?user=GMzzRRUAAAAJ&hl=en,The Chinese University of Hong Kong,Verified email at ie.cuhk.edu.hk
Chen Change Loy,Chao Dong,/citations?user=OSDCB0UAAAAJ&hl=en,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",Verified email at siat.ac.cn
Chen Change Loy,Ping Luo (羅平),/citations?user=aXdjxb4AAAAJ&hl=en,"Associate Professor, The University of Hong Kong",Verified email at hku.hk
Chen Change Loy,Shaogang Gong,/citations?user=Nhi0I8cAAAAJ&hl=en,Queen Mary University of London,Verified email at qmul.ac.uk
Chen Change Loy,Kai Chen,/citations?user=eGD0b7IAAAAJ&hl=en,Shanghai AI Laboratory,Verified email at pjlab.org.cn
Chen Change Loy,Wayne Wu,/citations?user=uWfZKz4AAAAJ&hl=en,Tsinghua University; Nanyang Technological University,Verified email at mails.tsinghua.edu.cn
Chen Change Loy,Chongyi Li,/citations?user=1_I0P-AAAAAJ&hl=en,"Professor, Nankai University",Verified email at ntu.edu.sg
Chen Change Loy,Tao Xiang,/citations?user=MeS5d4gAAAAJ&hl=en,University of Surrey; Meta AI,Verified email at surrey.ac.uk
Chen Change Loy,Ke Yu,/citations?user=GatMy5UAAAAJ&hl=en,"CUHK - SenseTime Joint Lab, The Chinese University of Hong Kong",Verified email at ie.cuhk.edu.hk
Chen Change Loy,Xiaoxiao Li,/citations?user=udZam0oAAAAJ&hl=en,The Chinese University of Hong Kong,Verified email at ie.cuhk.edu.hk
Chen Change Loy,Shuo Yang,/citations?user=U3KDpBUAAAAJ&hl=en,AWS-AI Computer Vision,Verified email at amazon.com
Chen Change Loy,Bo Dai,/citations?user=KNWTvgEAAAAJ&hl=en,Shanghai AI Laboratory,Verified email at pjlab.org.cn
Chen Change Loy,Chen Qian,/citations?user=AerkT0YAAAAJ&hl=en,SenseTime,Verified email at sensetime.com
Chen Change Loy,Jianping Shi,/citations?user=mwsxrm4AAAAJ&hl=en,SenseTime Group Limited,Verified email at sensetime.com
Chen Change Loy,Xintao Wang,/citations?user=FQgZpQoAAAAJ&hl=en,Tencent ARC Lab & Tencent AI Lab,Verified email at ie.cuhk.edu.hk
Chen Change Loy,Chen Huang,/citations?user=QZ-JKOUAAAAJ&hl=en,"Research Scientist, Apple Inc",Verified email at apple.com
Chen Change Loy,Kelvin C.K. Chan,/citations?user=QYTu_KQAAAAJ&hl=en,Google,Verified email at google.com
Chen Change Loy,Liming Jiang,/citations?user=v_D9J7kAAAAJ&hl=en,Ph.D. student @ Nanyang Technological University,Verified email at ntu.edu.sg
Chia Liang Tien,Deepu Rajan,/citations?user=1bqFcwIAAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
Chia Liang Tien,Shenghua Gao,/citations?user=fe-1v0MAAAAJ&hl=en,"Professor, ShanghaiTech University",Verified email at shanghaitech.edu.cn
Chia Liang Tien,Yiqun Hu,/citations?user=gIHCye8AAAAJ&hl=en,NTUC Enterprise,Verified email at ntucenterprise.sg
Chia Liang Tien,"Ivor W. Tsang, IEEE Fellow",/citations?user=rJMOlVsAAAAJ&hl=en,"Inaugural A*STAR AI Fellow and Director, Centre for Frontier AI Research, A*STAR",Verified email at ihpc.a-star.edu.sg
Chia Liang Tien,Min Xu,/citations?user=Ac6VCMkAAAAJ&hl=en,University of Technology Sydney,Verified email at uts.edu.au
Chia Liang Tien,Ah-Hwee Tan,/citations?user=G0hdDqYAAAAJ&hl=en,Singapore Management University,Verified email at smu.edu.sg
Chia Liang Tien,Zhengxiang Wang,/citations?user=43G9x0YAAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
Chia Liang Tien,Jianfei Cai,/citations?user=N6czCoUAAAAJ&hl=en,"Professor of Data Science & AI, Monash University",Verified email at monash.edu
Chia Liang Tien,Sourav S Bhowmick,/citations?user=o0F3sqEAAAAJ&hl=en,"ACM Distinguished Member, Associate Professor, Nanyang Technological University",Verified email at ntu.edu.sg
Chia Liang Tien,Ziming Zhang,/citations?user=2yqx3oIAAAAJ&hl=en,"Assistant Professor, Worcester Polytechnic Institute (WPI)",Verified email at wpi.edu
Chia Liang Tien,Feng Lu,/citations?user=ySTrnjMAAAAJ&hl=en,Google Inc.,Verified email at cs.ucsd.edu
Chia Liang Tien,Xing Xie 谢幸,/citations?user=5EQfAFIAAAAJ&hl=en,"Senior Principal Research Manager, Microsoft, CCF Fellow, IEEE Fellow, ACM Distinguished Member",Verified email at microsoft.com
Chia Liang Tien,Tzu-Yi HUNG,/citations?user=W_GZKeYAAAAJ&hl=en,"Delta Research Center, Singapore",Verified email at deltaww.com
Chia Liang Tien,Tat-Jen Cham,/citations?user=Lx3X7W0AAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
Chia Liang Tien,Ling Chen,/citations?user=L5aYWQcAAAAJ&hl=en,university of technology sydney,Verified email at uts.edu.au
Chia Liang Tien,Changsheng Xu,/citations?user=hI9NRDkAAAAJ&hl=en,"Professor, Institute of Automation, Chinese Academy of Sciences",Verified email at nlpr.ia.ac.cn
Chia Liang Tien,Sriram Vaikundam,/citations?user=91NBEiUAAAAJ&hl=en,Research Engineer,Verified email at deltaww.com
Chia Liang Tien,Weisi Lin,/citations?user=D_S41X4AAAAJ&hl=en,"Professor, Nanyang Technological Unversity",Verified email at ntu.edu.sg
Chia Liang Tien,Sabu Emmanuel,/citations?user=4q2qmJsAAAAJ&hl=en,"Singapore Institute of Technology (SIT), Singapore",Verified email at singaporetech.edu.sg
Chia Liang Tien,Ian McLoughlin,/citations?user=mcnKgPoAAAAJ&hl=en,Professor Singapore Institute of Technology (Singapore) and USTC (China),Verified email at singaporetech.edu.sg
Chng Eng Siong,Haizhou Li,/citations?user=z8_x7C8AAAAJ&hl=en,"The Chinese University of Hong Kong, Shenzhen, China; NUS, Singapore",Verified email at u.nus.edu
Chng Eng Siong,Xiong Xiao,/citations?user=HHjJ0doAAAAJ&hl=en,"Principal Applied scientist, Microsoft",Verified email at microsoft.com
Chng Eng Siong,Zhizheng Wu,/citations?user=K6zhweAAAAAJ&hl=en,"Chinese University of Hong Kong, Shenzhen, Mel Lab",Verified email at cuhk.edu.cn
Chng Eng Siong,Chenglin Xu,/citations?user=Ww8tQKAAAAAJ&hl=en,"Kuaishou Technology, China",Verified email at kuaishou.com
Chng Eng Siong,Lei Xie,/citations?user=Qddov9wAAAAJ&hl=en,Northwestern Polytechnical University,Verified email at nwpu.edu.cn
Chng Eng Siong,Xiaohai Tian,/citations?user=6gc45QcAAAAJ&hl=en,National University of Singapore (NUS),Verified email at nus.edu.sg
Chng Eng Siong,Sheng Chen,/citations?user=ZikGt_kAAAAJ&hl=en,"Professor, University of Southampton",Verified email at ecs.soton.ac.uk
Chng Eng Siong,Tomi Kinnunen,/citations?user=e3SPjpoAAAAJ&hl=en,"Professor, University of Eastern Finland",Verified email at uef.fi
Chng Eng Siong,Kong Aik Lee,/citations?user=SZegiA4AAAAJ&hl=en,"The Hong Kong Polytechnic University, Hong Kong",Verified email at ieee.org
Chng Eng Siong,Changsheng Xu,/citations?user=hI9NRDkAAAAJ&hl=en,"Professor, Institute of Automation, Chinese Academy of Sciences",Verified email at nlpr.ia.ac.cn
Chng Eng Siong,Jinjun Wang,/citations?user=Dk7JgNcAAAAJ&hl=en,"Xian Jiaotong University, China",Verified email at ieee.org
Chng Eng Siong,Tong Rong,/citations?user=PbeihqwAAAAJ&hl=en,Singapore Institute of Technology,Verified email at singaporetech.edu.sg
Chng Eng Siong,Wei Rao,/citations?user=peTocw8AAAAJ&hl=en,"Tencent, China",Verified email at tencent.com
Chng Eng Siong,Douglas L. Jones,/citations?user=gX8LBfgAAAAJ&hl=en,"Professor of Electrical and Computer Engineering, University of Illinois at Urbana_Champaign",Verified email at uiuc.edu
Chng Eng Siong,Bernard Mulgrew,/citations?user=FpQuaoAAAAAJ&hl=en,University of Edinburgh,Verified email at ed.ac.uk
Chng Eng Siong,dau-cheng lyu,/citations?user=WTEa2rUAAAAJ&hl=en,"AICS, ASUS",Verified email at asus.com
Chng Eng Siong,Longbiao Wang,/citations?user=1Z9_5ZgAAAAJ&hl=en,"Professor, Tianjin University",Verified email at tju.edu.cn
Chng Eng Siong,Nguyen Trung Hieu,/citations?user=RA5lzN8AAAAJ&hl=en,Alibaba Cloud Singapore Pte Ltd,Verified email at alibaba-inc.com
Chng Eng Siong,Tien-Ping Tan,/citations?user=YoLTWS0AAAAJ&hl=en,Universiti Sains Malaysia,Verified email at usm.my
Chng Eng Siong,Cheung-Chi Leung,/citations?user=yu6lqekAAAAJ&hl=en,"Singapore R&D Centre, Alibaba Inc.",Verified email at alibaba-inc.com
Cong Gao,Christian S. Jensen,/citations?user=wo20cPYAAAAJ&hl=en,"Aalborg University, Department of Computer Science",Verified email at cs.aau.dk
Cong Gao,Quan Yuan,/citations?user=Xk6QwMgAAAAJ&hl=en,Meta,Verified email at meta.com
Cong Gao,Xin Cao,/citations?user=kJIkUagAAAAJ&hl=en,University of New South Wales (UNSW),Verified email at unsw.edu.au
Cong Gao,Aixin Sun 孙爱欣,/citations?user=wyKGVKUAAAAJ&hl=en,NTU Singapore,Verified email at ntu.edu.sg
Cong Gao,Bin CUI,/citations?user=IJAU8KoAAAAJ&hl=en,"Professor of Computer Science, Peking University",Verified email at pku.edu.cn
Cong Gao,Wenfei Fan,/citations?user=u0S6ofAAAAAJ&hl=en,"Professor of Web Data Management, University of Edinburgh",Verified email at inf.ed.ac.uk
Cong Gao,Xiaoli Li (李晓黎),/citations?user=E3yQKloAAAAJ&hl=en,"Principal Scientist and Dept Head, Institute for Infocomm Research; Adjunct Professor, NTU",Verified email at i2r.a-star.edu.sg
Cong Gao,Kaiqi Zhao,/citations?user=LRb5M2AAAAAJ&hl=en,"Senior Lecturer, University of Auckland",Verified email at auckland.ac.nz
Cong Gao,Tuan-Anh Nguyen Pham,/citations?user=7B8-COsAAAAJ&hl=en,Nanyang Technological University,Verified email at e.ntu.edu.sg
Cong Gao,Anthony KH Tung,/citations?user=HPYVJacAAAAJ&hl=en,National University of Singapore,Verified email at comp.nus.edu.sg
Cong Gao,Kaiyu Feng,/citations?user=3Rn3sJ4AAAAJ&hl=en,Beijing Institute of Technology,Verified email at bit.edu.cn
Cong Gao,Chin-Yew Lin,/citations?user=cDF07aYAAAAJ&hl=en,"Principal Research Manager of Knowledge Computing Group, Microsoft Research Asia",Verified email at microsoft.com
Cong Gao,Wei Wei,/citations?user=_JaPEsAAAAAJ&hl=en,"Professor, School of Computer Science and Technology, Huazhong University of Science",Verified email at hust.edu.cn
Cong Gao,Yeow Meng Chee,/citations?user=99AJNXEAAAAJ&hl=en,National University of Singapore,Verified email at nus.edu.sg
Cong Gao,Shuai Ma,/citations?user=vJUjFpQAAAAJ&hl=en,"Professor at Beihang University, Beijing, China",Verified email at act.buaa.edu.cn
Cong Gao,Beng Chin OOI,/citations?user=9560QjYAAAAJ&hl=en,National University of Singapore,Verified email at comp.nus.edu.sg
Cong Gao,Zhen Hai,/citations?user=fDxKnTsAAAAJ&hl=en,"Language Technology, DAMO, Alibaba Group",Verified email at e.ntu.edu.sg
Cong Gao,Man Lung Yiu,/citations?user=PfUoXAEAAAAJ&hl=en,"Associate Professor, Hong Kong Polytechnic University",Verified email at comp.polyu.edu.hk
Cong Gao,Floris Geerts,/citations?user=SGay8u4AAAAJ&hl=en,University of Antwerp,Verified email at uantwerp.be
Cong Gao,Chunyan Miao,/citations?user=fmXGRJgAAAAJ&hl=en,Nanyang Technological University,Verified email at ntu.edu.sg
Deepu Rajan,,,,
Dmitrii Ustiugov,Boris Grot,/citations?user=1DXXeSMAAAAJ&hl=en,University of Edinburgh,Verified email at ed.ac.uk
Dmitrii Ustiugov,Edouard Bugnion,/citations?user=8ztj2yEAAAAJ&hl=en,EPFL,Verified email at epfl.ch
Dmitrii Ustiugov,Babak Falsafi,/citations?user=LaNEuBUAAAAJ&hl=en,"Professor of Computer Science, EPFL",Verified email at epfl.ch
Dmitrii Ustiugov,Alexandros Daglis,/citations?user=Mm-dHpMAAAAJ&hl=en,Georgia Institute of Technology,Verified email at cc.gatech.edu
Dmitrii Ustiugov,Dionisios Pnevmatikatos,/citations?user=TKtxe-UAAAAJ&hl=en,"Professor of ECE,  National Technical University of Athens",Verified email at cslab.ece.ntua.gr
Dmitrii Ustiugov,Javier Picorel,/citations?user=M8Z0fGUAAAAJ&hl=en,"PhD, EPFL",Verified email at epfl.ch
Dmitrii Ustiugov,Artemiy Margaritov,/citations?user=oPsOOC8AAAAJ&hl=en,"Research Associate, University of Edinburgh",Verified email at ed.ac.uk
Dmitrii Ustiugov,Nooshin Mirzadeh,/citations?user=JRsgD04AAAAJ&hl=en,EPFL,Verified email at epfl.ch
